"",gene_set,over_represented_pvalue,under_represented_pvalue,numSIGInCat,numInCat,SIGgene_ensembl,SIGgene_symbol,All_gene_ensembl,All_gene_symbol,Ave_value_all_gene
"1",GO_GRANULOCYTE_MIGRATION,0.00398956075699304,0.999135177797928,7,44,ENSG00000102882|ENSG00000133318|ENSG00000136689|ENSG00000168066|ENSG00000185010|ENSG00000186111|ENSG00000198001,MAPK3|RTN3|IL1RN|SF1|F8|PIP5K1C|IRAK4,ENSG00000002586|ENSG00000010278|ENSG00000035664|ENSG00000042832|ENSG00000061676|ENSG00000062485|ENSG00000065427|ENSG00000069482|ENSG00000071127|ENSG00000100030|ENSG00000102181|ENSG00000102882|ENSG00000107862|ENSG00000111913|ENSG00000112062|ENSG00000112977|ENSG00000113141|ENSG00000113296|ENSG00000115594|ENSG00000127129|ENSG00000127948|ENSG00000133318|ENSG00000134072|ENSG00000134215|ENSG00000136238|ENSG00000136689|ENSG00000150455|ENSG00000151651|ENSG00000153898|ENSG00000154639|ENSG00000162433|ENSG00000163702|ENSG00000166086|ENSG00000166278|ENSG00000168066|ENSG00000169083|ENSG00000171608|ENSG00000174574|ENSG00000177663|ENSG00000185010|ENSG00000186111|ENSG00000196839|ENSG00000198001|ENSG00000217555,CD99|CD9|DAPK2|TG|NCKAP1|CS|KARS|GAL|WDR1|MAPK1|CD99L2|MAPK3|GBF1|RIPOR2|MAPK14|DAP|IK|THBS4|IL1R1|EDN2|POR|RTN3|CAMK1|VAV3|RAC1|IL1RN|TIRAP|ADAM8|MCOLN2|CXADR|AK4|IL17RC|JAM3|C2|SF1|AR|PIK3CD|AKIRIN1|IL17RA|F8|PIP5K1C|ADA|IRAK4|CKLF,3.95454545454545
"2",GO_RESPIRATORY_SYSTEM_PROCESS,0.00773210915093434,0.999008968486345,4,18,ENSG00000147050|ENSG00000169057|ENSG00000171298|ENSG00000196338,KDM6A|MECP2|GAA|NLGN3,ENSG00000042832|ENSG00000101109|ENSG00000101181|ENSG00000105649|ENSG00000107372|ENSG00000115419|ENSG00000140718|ENSG00000147050|ENSG00000148824|ENSG00000167081|ENSG00000169057|ENSG00000169992|ENSG00000170835|ENSG00000171298|ENSG00000184916|ENSG00000196182|ENSG00000196338|ENSG00000197894,TG|STK4|MTG2|RAB3A|ZFAND5|GLS|FTO|KDM6A|MTG1|PBX3|MECP2|NLGN2|CEL|GAA|JAG2|STK40|NLGN3|ADH5,3.77777777777778
"3",GO_FOREBRAIN_GENERATION_OF_NEURONS,0.00832531104982979,0.998221678884241,6,33,ENSG00000109756|ENSG00000133961|ENSG00000138795|ENSG00000151150|ENSG00000168066|ENSG00000185010,RAPGEF2|NUMB|LEF1|ANK3|SF1|F8,ENSG00000004939|ENSG00000037897|ENSG00000062485|ENSG00000066279|ENSG00000066468|ENSG00000067560|ENSG00000077782|ENSG00000099250|ENSG00000105953|ENSG00000109756|ENSG00000114999|ENSG00000127152|ENSG00000130827|ENSG00000133961|ENSG00000138795|ENSG00000144290|ENSG00000145388|ENSG00000151150|ENSG00000158321|ENSG00000164405|ENSG00000165240|ENSG00000165819|ENSG00000168066|ENSG00000169083|ENSG00000169136|ENSG00000169750|ENSG00000169855|ENSG00000170390|ENSG00000176444|ENSG00000179348|ENSG00000185010|ENSG00000198125|ENSG00000251322,SLC4A1|METTL1|CS|ASPM|FGFR2|RHOA|FGFR1|NRP1|OGDH|RAPGEF2|TTL|BCL11B|PLXNA3|NUMB|LEF1|SLC4A10|METTL14|ANK3|AUTS2|UQCRQ|ATP7A|METTL3|SF1|AR|ATF5|RAC3|ROBO1|DCLK2|CLK2|GATA2|F8|MB|SHANK3,4.57575757575758
"4",GO_OXIDOREDUCTASE_ACTIVITY_OXIDIZING_METAL_IONS,0.00876310514373811,0.999261294230996,3,12,ENSG00000100425|ENSG00000114395|ENSG00000115107,BRD1|CYB561D2|STEAP3,ENSG00000008283|ENSG00000100425|ENSG00000114395|ENSG00000115107|ENSG00000116984|ENSG00000124275|ENSG00000132763|ENSG00000156869|ENSG00000157214|ENSG00000165060|ENSG00000167996|ENSG00000171503,CYB561|BRD1|CYB561D2|STEAP3|MTR|MTRR|MMACHC|FRRS1|STEAP2|FXN|FTH1|ETFDH,3.08333333333333
"5",GO_RRNA_METHYLATION,0.010647345516849,0.998003109697801,5,27,ENSG00000104907|ENSG00000117481|ENSG00000130305|ENSG00000162851|ENSG00000178694,TRMT1|NSUN4|NSUN5|TFB2M|NSUN3,ENSG00000037897|ENSG00000066651|ENSG00000071462|ENSG00000086189|ENSG00000104907|ENSG00000105202|ENSG00000105722|ENSG00000106133|ENSG00000108592|ENSG00000111641|ENSG00000114999|ENSG00000117481|ENSG00000122085|ENSG00000122687|ENSG00000126749|ENSG00000127804|ENSG00000130305|ENSG00000143303|ENSG00000162851|ENSG00000164603|ENSG00000166710|ENSG00000169519|ENSG00000171103|ENSG00000171861|ENSG00000173113|ENSG00000178694|ENSG00000223705,METTL1|TRMT11|BUD23|DIMT1|TRMT1|FBL|ERF|NSUN5P2|FTSJ3|NOP2|TTL|NSUN4|MTERF4|MRM2|EMG1|METTL16|NSUN5|RRNAD1|TFB2M|BMT2|B2M|METTL15|TRMT61B|MRM3|TRMT112|NSUN3|NSUN5P1,4.37037037037037
"6",GO_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE,0.0112307255060259,0.998394059908781,4,18,ENSG00000001617|ENSG00000105429|ENSG00000163785|ENSG00000185010,SEMA3F|MEGF8|RYK|F8,ENSG00000001617|ENSG00000012171|ENSG00000075223|ENSG00000092421|ENSG00000099250|ENSG00000105429|ENSG00000112715|ENSG00000130827|ENSG00000135622|ENSG00000137872|ENSG00000138798|ENSG00000143434|ENSG00000163785|ENSG00000170017|ENSG00000185010|ENSG00000187764|ENSG00000196189|ENSG00000204217,SEMA3F|SEMA3B|SEMA3C|SEMA6A|NRP1|MEGF8|VEGFA|PLXNA3|SEMA4F|SEMA6D|EGF|SEMA6C|RYK|ALCAM|F8|SEMA4D|SEMA4A|BMPR2,4.38888888888889
"7",GO_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,0.0118472724464694,0.997815988711855,5,20,ENSG00000106348|ENSG00000116337|ENSG00000128059|ENSG00000140988|ENSG00000165704,IMPDH1|AMPD2|PPAT|RPS2|HPRT1,ENSG00000026103|ENSG00000035687|ENSG00000062485|ENSG00000101911|ENSG00000106348|ENSG00000116337|ENSG00000128050|ENSG00000128059|ENSG00000138363|ENSG00000140988|ENSG00000156110|ENSG00000159131|ENSG00000165704|ENSG00000169083|ENSG00000178035|ENSG00000178921|ENSG00000185100|ENSG00000196839|ENSG00000198931|ENSG00000239900,FAS|ADSS|CS|PRPS2|IMPDH1|AMPD2|PAICS|PPAT|ATIC|RPS2|ADK|GART|HPRT1|AR|IMPDH2|PFAS|ADSSL1|ADA|APRT|ADSL,6.2
"8",GO_REGULATION_OF_MITOCHONDRIAL_TRANSLATION,0.0122246841977536,0.99715258873057,6,34,ENSG00000104907|ENSG00000115204|ENSG00000117481|ENSG00000140988|ENSG00000178694|ENSG00000180198,TRMT1|MPV17|NSUN4|RPS2|NSUN3|RCC1,ENSG00000026103|ENSG00000030582|ENSG00000042832|ENSG00000100601|ENSG00000101019|ENSG00000101181|ENSG00000101391|ENSG00000104907|ENSG00000113048|ENSG00000115204|ENSG00000117481|ENSG00000118246|ENSG00000121211|ENSG00000122140|ENSG00000123297|ENSG00000124279|ENSG00000137288|ENSG00000138095|ENSG00000140988|ENSG00000148824|ENSG00000155906|ENSG00000156928|ENSG00000156968|ENSG00000156990|ENSG00000164885|ENSG00000164896|ENSG00000165526|ENSG00000166278|ENSG00000167112|ENSG00000177954|ENSG00000178694|ENSG00000180198|ENSG00000182199|ENSG00000254858,FAS|GRN|TG|ALKBH1|UQCC1|MTG2|CDK5RAP1|TRMT1|MRPS27|MPV17|NSUN4|FASTKD2|MND1|MRPS2|TSFM|FASTKD3|UQCC2|LRPPRC|RPS2|MTG1|RMND1|MALSU1|MPV17L|RPUSD3|CDK5|FASTK|RPUSD4|C2|TRUB2|RPS27|NSUN3|RCC1|SHMT2|MPV17L2,5.11764705882353
"9",GO_TRACHEA_DEVELOPMENT,0.0122382456829085,0.998813005887522,3,13,ENSG00000078018|ENSG00000102882|ENSG00000138795,MAP2|MAPK3|LEF1,ENSG00000042832|ENSG00000070018|ENSG00000078018|ENSG00000100030|ENSG00000102882|ENSG00000138795|ENSG00000157423|ENSG00000158813|ENSG00000168036|ENSG00000169032|ENSG00000169083|ENSG00000172819|ENSG00000188064,TG|LRP6|MAP2|MAPK1|MAPK3|LEF1|HYDIN|EDA|CTNNB1|MAP2K1|AR|RARG|WNT7B,3.15384615384615
"10",GO_ANIMAL_ORGAN_FORMATION,0.0125770296398533,0.998048624658609,4,26,ENSG00000078018|ENSG00000102882|ENSG00000168646|ENSG00000185010,MAP2|MAPK3|AXIN2|F8,ENSG00000011143|ENSG00000042832|ENSG00000066468|ENSG00000077782|ENSG00000078018|ENSG00000082014|ENSG00000100030|ENSG00000102119|ENSG00000102882|ENSG00000107779|ENSG00000121039|ENSG00000122966|ENSG00000125845|ENSG00000137193|ENSG00000137573|ENSG00000148400|ENSG00000161904|ENSG00000166225|ENSG00000168036|ENSG00000168214|ENSG00000168646|ENSG00000169032|ENSG00000169083|ENSG00000169855|ENSG00000174021|ENSG00000185010,MKS1|TG|FGFR2|FGFR1|MAP2|SMARCD3|MAPK1|EMD|MAPK3|BMPR1A|RDH10|CIT|BMP2|PIM1|SULF1|NOTCH1|LEMD2|FRS2|CTNNB1|RBPJ|AXIN2|MAP2K1|AR|ROBO1|GNG5|F8,2.84615384615385
