"",gene_set,over_represented_pvalue,under_represented_pvalue,numSIGInCat,numInCat,SIGgene_ensembl,SIGgene_symbol,All_gene_ensembl,All_gene_symbol,Ave_value_all_gene
"1",GO_REGULATION_OF_MICROTUBULE_BINDING,0.0114866268685657,0.998072632119719,6,11,ENSG00000072518|ENSG00000078018|ENSG00000084764|ENSG00000128881|ENSG00000168066|ENSG00000185122,MARK2|MAP2|MAPRE3|TTBK2|SF1|HSF1,ENSG00000072518|ENSG00000078018|ENSG00000084764|ENSG00000097007|ENSG00000104695|ENSG00000113575|ENSG00000128881|ENSG00000141013|ENSG00000168066|ENSG00000169083|ENSG00000185122,MARK2|MAP2|MAPRE3|ABL1|PPP2CB|PPP2CA|TTBK2|GAS8|SF1|AR|HSF1,5.72727272727273
"2",GO_REGULATION_OF_GOLGI_ORGANIZATION,0.011492950001888,0.997553455457579,7,15,ENSG00000076826|ENSG00000078018|ENSG00000079805|ENSG00000102882|ENSG00000127914|ENSG00000131381|ENSG00000178104,CAMSAP3|MAP2|DNM2|MAPK3|AKAP9|RBSN|PDE4DIP,ENSG00000076826|ENSG00000078018|ENSG00000079805|ENSG00000100030|ENSG00000102882|ENSG00000113448|ENSG00000118200|ENSG00000126934|ENSG00000127914|ENSG00000131381|ENSG00000148429|ENSG00000162236|ENSG00000168818|ENSG00000169032|ENSG00000178104,CAMSAP3|MAP2|DNM2|MAPK1|MAPK3|PDE4D|CAMSAP2|MAP2K2|AKAP9|RBSN|USP6NL|STX5|STX18|MAP2K1|PDE4DIP,5
"3",GO_PROTEIN_AUTO_ADP_RIBOSYLATION,0.0129403036701643,0.997953479290846,5,11,ENSG00000041880|ENSG00000059378|ENSG00000111224|ENSG00000151883|ENSG00000178685,PARP3|PARP12|PARP11|PARP8|PARP10,ENSG00000041880|ENSG00000059378|ENSG00000107854|ENSG00000111224|ENSG00000137817|ENSG00000138617|ENSG00000143799|ENSG00000151883|ENSG00000169083|ENSG00000173273|ENSG00000178685,PARP3|PARP12|TNKS2|PARP11|PARP6|PARP16|PARP1|PARP8|AR|TNKS|PARP10,3.63636363636364
"4",GO_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT,0.0226389928952967,0.987920560085978,23,94,ENSG00000060138|ENSG00000062485|ENSG00000092841|ENSG00000105357|ENSG00000108443|ENSG00000108654|ENSG00000116128|ENSG00000125772|ENSG00000126804|ENSG00000130707|ENSG00000132356|ENSG00000133794|ENSG00000136068|ENSG00000137288|ENSG00000137312|ENSG00000143437|ENSG00000165410|ENSG00000166200|ENSG00000169884|ENSG00000170802|ENSG00000176046|ENSG00000186174|ENSG00000187848,YBX3|CS|MYL6|MYH14|RPS6KB1|DDX5|BCL9|GPCPD1|ZBTB1|ASS1|PRKAA1|ARNTL|FLNB|UQCC2|FLOT1|ARNT|CFL2|COPS2|WNT10B|FOXN2|NUPR1|BCL9L|P2RX2,ENSG00000003402|ENSG00000042832|ENSG00000047457|ENSG00000060138|ENSG00000062485|ENSG00000064309|ENSG00000064961|ENSG00000065534|ENSG00000067560|ENSG00000068024|ENSG00000079785|ENSG00000082258|ENSG00000092841|ENSG00000095587|ENSG00000100030|ENSG00000100201|ENSG00000100393|ENSG00000100625|ENSG00000101306|ENSG00000102119|ENSG00000102125|ENSG00000105357|ENSG00000105976|ENSG00000108443|ENSG00000108582|ENSG00000108654|ENSG00000111913|ENSG00000112062|ENSG00000112276|ENSG00000113161|ENSG00000114999|ENSG00000116128|ENSG00000116604|ENSG00000121577|ENSG00000123213|ENSG00000124641|ENSG00000125772|ENSG00000126804|ENSG00000127124|ENSG00000127418|ENSG00000127948|ENSG00000130707|ENSG00000132356|ENSG00000132429|ENSG00000133116|ENSG00000133424|ENSG00000133794|ENSG00000136068|ENSG00000137154|ENSG00000137288|ENSG00000137312|ENSG00000138386|ENSG00000138798|ENSG00000138814|ENSG00000139687|ENSG00000143437|ENSG00000147439|ENSG00000148308|ENSG00000148400|ENSG00000152413|ENSG00000154309|ENSG00000161904|ENSG00000162430|ENSG00000162607|ENSG00000162729|ENSG00000162772|ENSG00000164105|ENSG00000164885|ENSG00000165410|ENSG00000166200|ENSG00000166278|ENSG00000167085|ENSG00000167196|ENSG00000167658|ENSG00000168036|ENSG00000169083|ENSG00000169884|ENSG00000170802|ENSG00000171100|ENSG00000172046|ENSG00000173599|ENSG00000174574|ENSG00000174738|ENSG00000176046|ENSG00000182149|ENSG00000185010|ENSG00000185482|ENSG00000186174|ENSG00000187848|ENSG00000196465|ENSG00000196712|ENSG00000197321|ENSG00000197993|ENSG00000198734,CFLAR|TG|CP|YBX3|CS|CDON|HMG20B|MYLK|RHOA|HDAC4|DDX1|CCNT2|MYL6|TLL2|MAPK1|DDX17|EP300|SIX4|MYLK2|EMD|TAZ|MYH14|MET|RPS6KB1|CPD|DDX5|RIPOR2|MAPK14|BVES|HMGCR|TTL|BCL9|MEF2D|POPDC2|NLN|MED20|GPCPD1|ZBTB1|HIVEP3|FGFRL1|POR|ASS1|PRKAA1|POPDC3|KL|LARGE1|ARNTL|FLNB|RPS6|UQCC2|FLOT1|NAB1|EGF|PPP3CA|RB1|ARNT|BIN3|GTF3C5|NOTCH1|HOMER1|DISP1|LEMD2|SELENON|USP1|IGSF8|ATF3|SAP30|CDK5|CFL2|COPS2|C2|PHB|FBXO22|EEF2|CTNNB1|AR|WNT10B|FOXN2|MTM1|USP19|PC|AKIRIN1|NR1D2|NUPR1|IST1|F8|STAC3|BCL9L|P2RX2|MYL6B|NF1|SVIL|KEL|F5,4.52127659574468
"5",GO_REGULATION_OF_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY,0.0260296032920141,0.995029347576057,5,11,ENSG00000062485|ENSG00000070404|ENSG00000101665|ENSG00000115170|ENSG00000168066,CS|FSTL3|SMAD7|ACVR1|SF1,ENSG00000062485|ENSG00000070404|ENSG00000088832|ENSG00000101665|ENSG00000102119|ENSG00000115170|ENSG00000133895|ENSG00000135503|ENSG00000147255|ENSG00000168066|ENSG00000175387,CS|FSTL3|FKBP1A|SMAD7|EMD|ACVR1|MEN1|ACVR1B|IGSF1|SF1|SMAD2,4.90909090909091
"6",GO_RESPONSE_TO_DIETARY_EXCESS,0.0283189012269767,0.992164375922037,7,18,ENSG00000062485|ENSG00000115170|ENSG00000136044|ENSG00000142192|ENSG00000148339|ENSG00000162600|ENSG00000177565,CS|ACVR1|APPL2|APP|SLC25A25|OMA1|TBL1XR1,ENSG00000047457|ENSG00000062485|ENSG00000101849|ENSG00000103653|ENSG00000109255|ENSG00000109819|ENSG00000115170|ENSG00000118898|ENSG00000136044|ENSG00000139687|ENSG00000142192|ENSG00000148339|ENSG00000162600|ENSG00000166278|ENSG00000169083|ENSG00000173599|ENSG00000177565|ENSG00000196689,CP|CS|TBL1X|CSK|NMU|PPARGC1A|ACVR1|PPL|APPL2|RB1|APP|SLC25A25|OMA1|C2|AR|PC|TBL1XR1|TRPV1,5.77777777777778
"7",GO_TAU_PROTEIN_KINASE_ACTIVITY,0.0307381258159686,0.990204964544298,8,23,ENSG00000062485|ENSG00000072518|ENSG00000075413|ENSG00000128881|ENSG00000132356|ENSG00000141551|ENSG00000156873|ENSG00000174672,CS|MARK2|MARK3|TTBK2|PRKAA1|CSNK1D|PHKG2|BRSK2,ENSG00000007047|ENSG00000010810|ENSG00000062485|ENSG00000072518|ENSG00000075413|ENSG00000082701|ENSG00000105723|ENSG00000113141|ENSG00000116141|ENSG00000128881|ENSG00000132356|ENSG00000134318|ENSG00000141551|ENSG00000149930|ENSG00000156873|ENSG00000157540|ENSG00000160469|ENSG00000160551|ENSG00000160584|ENSG00000164885|ENSG00000169083|ENSG00000174672|ENSG00000183735,MARK4|FYN|CS|MARK2|MARK3|GSK3B|GSK3A|IK|MARK1|TTBK2|PRKAA1|ROCK2|CSNK1D|TAOK2|PHKG2|DYRK1A|BRSK1|TAOK1|SIK3|CDK5|AR|BRSK2|TBK1,4.86956521739131
"8",GO_VENTRICULAR_SEPTUM_DEVELOPMENT,0.0311679558273464,0.987519699417296,11,39,ENSG00000049323|ENSG00000079805|ENSG00000101665|ENSG00000103148|ENSG00000115170|ENSG00000135111|ENSG00000135679|ENSG00000162775|ENSG00000168214|ENSG00000197603|ENSG00000204217,LTBP1|DNM2|SMAD7|NPRL3|ACVR1|TBX3|MDM2|RBM15|RBPJ|CPLANE1|BMPR2,ENSG00000006125|ENSG00000042832|ENSG00000047457|ENSG00000049323|ENSG00000066468|ENSG00000069702|ENSG00000079805|ENSG00000100815|ENSG00000101665|ENSG00000103148|ENSG00000106799|ENSG00000107882|ENSG00000109685|ENSG00000112655|ENSG00000115170|ENSG00000115738|ENSG00000122966|ENSG00000127418|ENSG00000135111|ENSG00000135679|ENSG00000135766|ENSG00000137834|ENSG00000143013|ENSG00000148400|ENSG00000149506|ENSG00000151748|ENSG00000162738|ENSG00000162775|ENSG00000164683|ENSG00000164867|ENSG00000166225|ENSG00000166847|ENSG00000168214|ENSG00000169641|ENSG00000169855|ENSG00000173706|ENSG00000179588|ENSG00000197603|ENSG00000204217,AP2B1|TG|CP|LTBP1|FGFR2|TGFBR3|DNM2|TRIP11|SMAD7|NPRL3|TGFBR1|SUFU|NSD2|PTK7|ACVR1|ID2|CIT|FGFRL1|TBX3|MDM2|EGLN1|SMAD6|LMO4|NOTCH1|ZP1|SAV1|VANGL2|RBM15|HEY1|NOS3|FRS2|DCTN5|RBPJ|LUZP1|ROBO1|HEG1|ZFPM1|CPLANE1|BMPR2,4.76923076923077
"9",GO_CARDIAC_VENTRICLE_DEVELOPMENT,0.0325586944838575,0.983912066394466,17,64,ENSG00000049323|ENSG00000049883|ENSG00000075223|ENSG00000079805|ENSG00000101665|ENSG00000103148|ENSG00000104881|ENSG00000115170|ENSG00000128309|ENSG00000135111|ENSG00000135679|ENSG00000141449|ENSG00000162775|ENSG00000168214|ENSG00000197603|ENSG00000198626|ENSG00000204217,LTBP1|PTCD2|SEMA3C|DNM2|SMAD7|NPRL3|PPP1R13L|ACVR1|MPST|TBX3|MDM2|GREB1L|RBM15|RBPJ|CPLANE1|RYR2|BMPR2,ENSG00000006125|ENSG00000042832|ENSG00000047457|ENSG00000049323|ENSG00000049883|ENSG00000066468|ENSG00000069702|ENSG00000075223|ENSG00000079805|ENSG00000082014|ENSG00000083307|ENSG00000084073|ENSG00000088832|ENSG00000100644|ENSG00000100815|ENSG00000101384|ENSG00000101665|ENSG00000103148|ENSG00000104881|ENSG00000105723|ENSG00000106799|ENSG00000107779|ENSG00000107882|ENSG00000109685|ENSG00000112655|ENSG00000115170|ENSG00000115738|ENSG00000118194|ENSG00000118513|ENSG00000122966|ENSG00000125686|ENSG00000127418|ENSG00000128309|ENSG00000130939|ENSG00000135111|ENSG00000135679|ENSG00000135766|ENSG00000136280|ENSG00000137834|ENSG00000140416|ENSG00000141449|ENSG00000143013|ENSG00000148400|ENSG00000149506|ENSG00000151748|ENSG00000162738|ENSG00000162775|ENSG00000164683|ENSG00000164867|ENSG00000164983|ENSG00000166225|ENSG00000166847|ENSG00000168214|ENSG00000168487|ENSG00000169083|ENSG00000169641|ENSG00000169855|ENSG00000173599|ENSG00000173706|ENSG00000179588|ENSG00000186350|ENSG00000197603|ENSG00000198626|ENSG00000204217,AP2B1|TG|CP|LTBP1|PTCD2|FGFR2|TGFBR3|SEMA3C|DNM2|SMARCD3|GRHL2|ZMPSTE24|FKBP1A|HIF1A|TRIP11|JAG1|SMAD7|NPRL3|PPP1R13L|GSK3A|TGFBR1|BMPR1A|SUFU|NSD2|PTK7|ACVR1|ID2|TNNT2|MYB|CIT|MED1|FGFRL1|MPST|UBE4B|TBX3|MDM2|EGLN1|CCM2|SMAD6|TPM1|GREB1L|LMO4|NOTCH1|ZP1|SAV1|VANGL2|RBM15|HEY1|NOS3|TMEM65|FRS2|DCTN5|RBPJ|BMP1|AR|LUZP1|ROBO1|PC|HEG1|ZFPM1|RXRA|CPLANE1|RYR2|BMPR2,5.03125
"10",GO_CERAMIDE_BIOSYNTHETIC_PROCESS,0.0334752983724714,0.984990291405975,14,45,ENSG00000089041|ENSG00000090661|ENSG00000132356|ENSG00000136699|ENSG00000139624|ENSG00000143418|ENSG00000143753|ENSG00000150787|ENSG00000158850|ENSG00000168066|ENSG00000184381|ENSG00000198964|ENSG00000204628|ENSG00000213930,P2RX7|CERS4|PRKAA1|SMPD4|CERS5|CERS2|DEGS1|PTS|B4GALT3|SF1|PLA2G6|SGMS1|RACK1|GALT,ENSG00000006530|ENSG00000035681|ENSG00000048649|ENSG00000067182|ENSG00000089041|ENSG00000090054|ENSG00000090661|ENSG00000100596|ENSG00000103056|ENSG00000104763|ENSG00000115525|ENSG00000118276|ENSG00000123353|ENSG00000128699|ENSG00000132356|ENSG00000135454|ENSG00000135587|ENSG00000136699|ENSG00000138385|ENSG00000139624|ENSG00000141429|ENSG00000143418|ENSG00000143753|ENSG00000148154|ENSG00000150787|ENSG00000156671|ENSG00000158850|ENSG00000160408|ENSG00000163932|ENSG00000164023|ENSG00000166278|ENSG00000166311|ENSG00000168066|ENSG00000168350|ENSG00000172057|ENSG00000172292|ENSG00000174607|ENSG00000177628|ENSG00000184381|ENSG00000188611|ENSG00000196542|ENSG00000198814|ENSG00000198964|ENSG00000204628|ENSG00000213930,AGK|NSMAF|RSF1|TNFRSF1A|P2RX7|SPTLC1|CERS4|SPTLC2|SMPD3|ASAH1|ST3GAL5|B4GALT6|ORMDL2|ORMDL1|PRKAA1|B4GALNT1|SMPD2|SMPD4|SSB|CERS5|GALNT1|CERS2|DEGS1|UGCG|PTS|SAMD8|B4GALT3|ST6GALNAC6|PRKCD|SGMS2|C2|SMPD1|SF1|DEGS2|ORMDL3|CERS6|UGT8|GBA|PLA2G6|ASAH2|SPTSSB|GK|SGMS1|RACK1|GALT,6.11111111111111
