Run,Age,Assay Type,AssemblyName,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,disease_stage,Ethnicity,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,sex,SRA Study,tissue
SRR8788982,50,WGS,GCA_000001405.13,202,111818612980,ECACC:DMS 273,PRJNA523380,SAMN10987982,Human,60214653033,DMS 273,BROAD INSTITUTE,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (small_cell_carcinoma),metastasis,Caucasian,SRX5578767,Illumina HiSeq 2000,cell line,WGS-DMS273_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,DMS273_LUNG,cell culture,female,SRP186687,lung
SRR8788983,61,WGS,GCA_000001405.13,202,146085501100,HSRRB,PRJNA523380,SAMN10988306,Human,73147700513,QGP-1,BROAD INSTITUTE,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,primary,Asian,SRX5578766,Illumina HiSeq 2000,cell line,WGS-QGP1_PANCREAS,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,QGP1_PANCREAS,cell culture,male,SRP186687,pancreas
SRR8788980,NA,WGS,GCA_000001405.13,202,138041897460,DSMZ:DAN-G,PRJNA523380,SAMN10987807,Human,67375397106,DAN-G,BROAD INSTITUTE,public,"sra,bam","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",carcinoma,primary,Caucasian,SRX5578769,Illumina HiSeq 2000,cell line,WGS-DANG_PANCREAS,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,DANG_PANCREAS,cell culture,NA,SRP186687,pancreas
SRR8788981,68,WGS,GCA_000001405.13,202,134773765922,ATCC:DMS 114,PRJNA523380,SAMN10988190,Human,69835505756,DMS 114,BROAD INSTITUTE,public,"sra,bam","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",carcinoma (small_cell_carcinoma),primary,Caucasian,SRX5578768,Illumina HiSeq 2000,cell line,WGS-DMS114_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,DMS114_LUNG,cell culture,male,SRP186687,lung
SRR8652043,50,WGS,GCA_000001405.13,202,112474083386,ATCC:NCI-H1792,PRJNA523380,SAMN10987908,Human,53012685438,NCI-H1792,BROAD INSTITUTE,public,"bam,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),metastasis,Caucasian,SRX5449857,Illumina HiSeq 2000,cell line,WGS-NCIH1792_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH1792_LUNG,cell culture,male,SRP186687,lung
SRR8652044,54,WGS,GCA_000001405.13,202,107893799238,ATCC:NCI-H1703,PRJNA523380,SAMN10988304,Human,54566058417,NCI-H1703,BROAD INSTITUTE,public,"bam,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",carcinoma (adenocarcinoma),primary,Caucasian,SRX5449856,Illumina HiSeq 2000,cell line,WGS-NCIH1703_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH1703_LUNG,cell culture,male,SRP186687,lung
SRR8652051,69,WGS,GCA_000001405.13,202,110121780660,ATCC:NCI-H2029,PRJNA523380,SAMN10987644,Human,55593693147,NCI-H2029,BROAD INSTITUTE,public,"bam,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",carcinoma (small_cell_carcinoma),metastasis,Caucasian,SRX5449849,Illumina HiSeq 2000,cell line,WGS-NCIH2029_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH2029_LUNG,cell culture,female,SRP186687,lung
SRR8652056,55,WGS,GCA_000001405.13,202,116986689656,NA,PRJNA523380,SAMN10988204,Human,64446580984,NCI-H209,BROAD INSTITUTE,public,"sra,bam","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",carcinoma (small_cell_carcinoma),metastasis,Caucasian,SRX5449844,Illumina HiSeq 2000,cell line,WGS-NCIH209_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH209_LUNG,cell culture,male,SRP186687,lung
SRR8652066,45,WGS,GCA_000001405.13,202,139054007956,RIKEN:JHOS-2,PRJNA523380,SAMN10988178,Human,76233796988,JHOS-2,BROAD INSTITUTE,public,"bam,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",carcinoma (adenocarcinoma),primary,Asian,SRX5449834,Illumina HiSeq 2000,cell line,WGS-JHOS2_OVARY,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,JHOS2_OVARY,cell culture,female,SRP186687,ovary
SRR8652076,NA,WGS,GCA_000001405.13,202,107312556156,NIBRI,PRJNA523380,SAMN10988369,Human,55015618522,KM12,BROAD INSTITUTE,public,"sra,bam","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",carcinoma (adenocarcinoma),primary,Caucasian,SRX5449824,Illumina HiSeq 2000,cell line,WGS-KM12_LARGE_INTESTINE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,KM12_LARGE_INTESTINE,cell culture,NA,SRP186687,large_intestine
