"","name","description","page"
"1","ensembl_gene_id","Gene stable ID","feature_page"
"2","ensembl_gene_id_version","Gene stable ID version","feature_page"
"3","ensembl_transcript_id","Transcript stable ID","feature_page"
"4","ensembl_transcript_id_version","Transcript stable ID version","feature_page"
"5","ensembl_peptide_id","Protein stable ID","feature_page"
"6","ensembl_peptide_id_version","Protein stable ID version","feature_page"
"7","ensembl_exon_id","Exon stable ID","feature_page"
"8","description","Gene description","feature_page"
"9","chromosome_name","Chromosome/scaffold name","feature_page"
"10","start_position","Gene start (bp)","feature_page"
"11","end_position","Gene end (bp)","feature_page"
"12","strand","Strand","feature_page"
"13","band","Karyotype band","feature_page"
"14","transcript_start","Transcript start (bp)","feature_page"
"15","transcript_end","Transcript end (bp)","feature_page"
"16","transcription_start_site","Transcription start site (TSS)","feature_page"
"17","transcript_length","Transcript length (including UTRs and CDS)","feature_page"
"18","transcript_tsl","Transcript support level (TSL)","feature_page"
"19","transcript_gencode_basic","GENCODE basic annotation","feature_page"
"20","transcript_appris","APPRIS annotation","feature_page"
"21","transcript_is_canonical","Ensembl Canonical","feature_page"
"22","transcript_mane_select","RefSeq match transcript (MANE Select)","feature_page"
"23","transcript_mane_plus_clinical","RefSeq match transcript (MANE Plus Clinical)","feature_page"
"24","external_gene_name","Gene name","feature_page"
"25","external_gene_source","Source of gene name","feature_page"
"26","external_transcript_name","Transcript name","feature_page"
"27","external_transcript_source_name","Source of transcript name","feature_page"
"28","transcript_count","Transcript count","feature_page"
"29","percentage_gene_gc_content","Gene % GC content","feature_page"
"30","gene_biotype","Gene type","feature_page"
"31","transcript_biotype","Transcript type","feature_page"
"32","source","Source (gene)","feature_page"
"33","transcript_source","Source (transcript)","feature_page"
"34","version","Version (gene)","feature_page"
"35","transcript_version","Version (transcript)","feature_page"
"36","peptide_version","Version (protein)","feature_page"
"37","external_synonym","Gene Synonym","feature_page"
"38","phenotype_description","Phenotype description","feature_page"
"39","source_name","Source name","feature_page"
"40","study_external_id","Study external reference","feature_page"
"41","strain_name","Strain name","feature_page"
"42","strain_gender","Strain gender","feature_page"
"43","p_value","P value","feature_page"
"44","go_id","GO term accession","feature_page"
"45","name_1006","GO term name","feature_page"
"46","definition_1006","GO term definition","feature_page"
"47","go_linkage_type","GO term evidence code","feature_page"
"48","namespace_1003","GO domain","feature_page"
"49","goslim_goa_accession","GOSlim GOA Accession(s)","feature_page"
"50","goslim_goa_description","GOSlim GOA Description","feature_page"
"51","biogrid","BioGRID Interaction data, The General Repository for Interaction Datasets ID","feature_page"
"52","ccds","CCDS ID","feature_page"
"53","chembl","ChEMBL ID","feature_page"
"54","dbass3_name","DataBase of Aberrant 3' Splice Sites name","feature_page"
"55","dbass3_id","DataBase of Aberrant 3' Splice Sites ID","feature_page"
"56","dbass5_name","DataBase of Aberrant 5' Splice Sites name","feature_page"
"57","dbass5_id","DataBase of Aberrant 5' Splice Sites ID","feature_page"
"58","ens_hs_transcript","Ensembl Human Transcript ID","feature_page"
"59","ens_hs_translation","Ensembl Human Translation ID","feature_page"
"60","entrezgene_trans_name","EntrezGene transcript name ID","feature_page"
"61","embl","European Nucleotide Archive ID","feature_page"
"62","arrayexpress","Expression Atlas ID","feature_page"
"63","genedb","GeneDB ID","feature_page"
"64","hgnc_id","HGNC ID","feature_page"
"65","hgnc_symbol","HGNC symbol","feature_page"
"66","hpa_accession","Human Protein Atlas accession","feature_page"
"67","hpa_id","Human Protein Atlas ID","feature_page"
"68","protein_id","INSDC protein ID","feature_page"
"69","ens_lrg_gene","LRG display in Ensembl gene ID","feature_page"
"70","ens_lrg_transcript","LRG display in Ensembl transcript ID","feature_page"
"71","merops","MEROPS - the Peptidase Database ID","feature_page"
"72","mim_gene_description","MIM gene description","feature_page"
"73","mim_gene_accession","MIM gene accession","feature_page"
"74","mim_morbid_description","MIM morbid description","feature_page"
"75","mim_morbid_accession","MIM morbid accession","feature_page"
"76","mirbase_accession","miRBase accession","feature_page"
"77","mirbase_id","miRBase ID","feature_page"
"78","mirbase_trans_name","miRBase transcript name ID","feature_page"
"79","entrezgene_description","NCBI gene (formerly Entrezgene) description","feature_page"
"80","entrezgene_accession","NCBI gene (formerly Entrezgene) accession","feature_page"
"81","entrezgene_id","NCBI gene (formerly Entrezgene) ID","feature_page"
"82","pdb","PDB ID","feature_page"
"83","reactome","Reactome ID","feature_page"
"84","reactome_gene","Reactome gene ID","feature_page"
"85","reactome_transcript","Reactome transcript ID","feature_page"
"86","refseq_mrna","RefSeq mRNA ID","feature_page"
"87","refseq_mrna_predicted","RefSeq mRNA predicted ID","feature_page"
"88","refseq_ncrna","RefSeq ncRNA ID","feature_page"
"89","refseq_ncrna_predicted","RefSeq ncRNA predicted ID","feature_page"
"90","refseq_peptide","RefSeq peptide ID","feature_page"
"91","refseq_peptide_predicted","RefSeq peptide predicted ID","feature_page"
"92","rfam","RFAM ID","feature_page"
"93","rfam_trans_name","RFAM transcript name ID","feature_page"
"94","rnacentral","RNAcentral ID","feature_page"
"95","hgnc_trans_name","Transcript name ID","feature_page"
"96","ucsc","UCSC Stable ID","feature_page"
"97","uniparc","UniParc ID","feature_page"
"98","uniprot_gn_symbol","UniProtKB Gene Name symbol","feature_page"
"99","uniprot_gn_id","UniProtKB Gene Name ID","feature_page"
"100","uniprot_isoform","UniProtKB isoform ID","feature_page"
"101","uniprotswissprot","UniProtKB/Swiss-Prot ID","feature_page"
"102","uniprotsptrembl","UniProtKB/TrEMBL ID","feature_page"
"103","wikigene_description","WikiGene description","feature_page"
"104","wikigene_name","WikiGene name","feature_page"
"105","wikigene_id","WikiGene ID","feature_page"
"106","affy_hc_g110","AFFY HC G110 probe","feature_page"
"107","affy_hg_focus","AFFY HG Focus probe","feature_page"
"108","affy_hg_u133a","AFFY HG U133A probe","feature_page"
"109","affy_hg_u133a_2","AFFY HG U133A 2 probe","feature_page"
"110","affy_hg_u133b","AFFY HG U133B probe","feature_page"
"111","affy_hg_u133_plus_2","AFFY HG U133 Plus 2 probe","feature_page"
"112","affy_hg_u95a","AFFY HG U95A probe","feature_page"
"113","affy_hg_u95av2","AFFY HG U95Av2 probe","feature_page"
"114","affy_hg_u95b","AFFY HG U95B probe","feature_page"
"115","affy_hg_u95c","AFFY HG U95C probe","feature_page"
"116","affy_hg_u95d","AFFY HG U95D probe","feature_page"
"117","affy_hg_u95e","AFFY HG U95E probe","feature_page"
"118","affy_hta_2_0","AFFY HTA 2 0 probe","feature_page"
"119","affy_huex_1_0_st_v2","AFFY HuEx 1 0 st v2 probe","feature_page"
"120","affy_hugenefl","AFFY HuGeneFL probe","feature_page"
"121","affy_hugene_1_0_st_v1","AFFY HuGene 1 0 st v1 probe","feature_page"
"122","affy_hugene_2_0_st_v1","AFFY HuGene 2 0 st v1 probe","feature_page"
"123","affy_hugene_2_1_st_v1","AFFY HuGene 2 1 st v1 probe","feature_page"
"124","affy_primeview","AFFY PrimeView probe","feature_page"
"125","affy_u133_x3p","AFFY U133 X3P probe","feature_page"
"126","agilent_cgh_44b","AGILENT CGH 44b probe","feature_page"
"127","agilent_gpl26966","AGILENT GPL26966 probe","feature_page"
"128","agilent_gpl6848","AGILENT GPL6848 probe","feature_page"
"129","agilent_sureprint_g3_ge_8x60k","AGILENT SurePrint G3 GE 8x60k probe","feature_page"
"130","agilent_sureprint_g3_ge_8x60k_v2","AGILENT SurePrint G3 GE 8x60k v2 probe","feature_page"
"131","agilent_wholegenome","AGILENT WholeGenome probe","feature_page"
"132","agilent_wholegenome_4x44k_v1","AGILENT WholeGenome 4x44k v1 probe","feature_page"
"133","agilent_wholegenome_4x44k_v2","AGILENT WholeGenome 4x44k v2 probe","feature_page"
"134","codelink_codelink","CODELINK CODELINK probe","feature_page"
