"","hgnc_symbol","ensembl_gene_id","go_id"
"1","SMN2","ENSG00000273772","GO:0005634"
"2","SMN2","ENSG00000273772","GO:0003723"
"3","SMN2","ENSG00000273772","GO:0005737"
"4","SMN2","ENSG00000273772","GO:0006397"
"5","SMN2","ENSG00000273772","GO:0008380"
"6","SMN2","ENSG00000273772","GO:0005829"
"7","SMN2","ENSG00000273772","GO:0016604"
"8","SMN2","ENSG00000273772","GO:0042995"
"9","SMN2","ENSG00000273772","GO:0005515"
"10","SMN2","ENSG00000273772","GO:0005654"
"11","SMN2","ENSG00000273772","GO:0043005"
"12","SMN2","ENSG00000273772","GO:0036464"
"13","SMN2","ENSG00000273772","GO:0007399"
"14","SMN2","ENSG00000273772","GO:0030424"
"15","SMN2","ENSG00000273772","GO:0015030"
"16","SMN2","ENSG00000273772","GO:0043204"
"17","SMN2","ENSG00000273772","GO:0000387"
"18","SMN2","ENSG00000273772","GO:0042802"
"19","SMN2","ENSG00000273772","GO:0030018"
"20","SMN2","ENSG00000273772","GO:0000245"
"21","SMN2","ENSG00000273772","GO:0032797"
"22","SMN2","ENSG00000273772","GO:0006353"
"23","SMN2","ENSG00000273772","GO:0034719"
"24","SMN2","ENSG00000273772","GO:0097504"
"25","SMN1","ENSG00000275349","GO:0005634"
"26","SMN1","ENSG00000275349","GO:0003723"
"27","SMN1","ENSG00000275349","GO:0005737"
"28","SMN1","ENSG00000275349","GO:0006397"
"29","SMN1","ENSG00000275349","GO:0008380"
"30","SMN1","ENSG00000275349","GO:0005829"
"31","SMN1","ENSG00000275349","GO:0016604"
"32","SMN1","ENSG00000275349","GO:0042995"
"33","SMN1","ENSG00000275349","GO:0005515"
"34","SMN1","ENSG00000275349","GO:0005654"
"35","SMN1","ENSG00000275349","GO:0043005"
"36","SMN1","ENSG00000275349","GO:0036464"
"37","SMN1","ENSG00000275349","GO:0007399"
"38","SMN1","ENSG00000275349","GO:0030424"
"39","SMN1","ENSG00000275349","GO:0015030"
"40","SMN1","ENSG00000275349","GO:0043204"
"41","SMN1","ENSG00000275349","GO:0000387"
"42","SMN1","ENSG00000275349","GO:0042802"
"43","SMN1","ENSG00000275349","GO:0030018"
"44","SMN1","ENSG00000275349","GO:0000245"
"45","SMN1","ENSG00000275349","GO:0032797"
"46","SMN1","ENSG00000275349","GO:0006353"
"47","SMN1","ENSG00000275349","GO:0034719"
"48","SMN1","ENSG00000275349","GO:0097504"
"49","YTHDC1","ENSG00000275272","GO:0003723"
"50","YTHDC1","ENSG00000275272","GO:0005634"
"51","YTHDC1","ENSG00000275272","GO:0006397"
"52","YTHDC1","ENSG00000275272","GO:0008380"
"53","YTHDC1","ENSG00000275272","GO:0016607"
"54","YTHDC1","ENSG00000275272","GO:0005654"
"55","YTHDC1","ENSG00000275272","GO:0005886"
"56","YTHDC1","ENSG00000275272","GO:0005515"
"57","YTHDC1","ENSG00000275272","GO:1990247"
"58","YTHDC1","ENSG00000275272","GO:0006406"
"59","YTHDC1","ENSG00000275272","GO:0003729"
"60","YTHDC1","ENSG00000275272","GO:0000381"
"61","YTHDC1","ENSG00000275272","GO:0009048"
"62","YTHDC1","ENSG00000275272","GO:0000398"
"63","YTHDC1","ENSG00000275272","GO:0010608"
"64","YTHDC1","ENSG00000275272","GO:0006376"
"65","YTHDC1","ENSG00000275272","GO:0048024"
"66","PRPF8","ENSG00000274442","GO:0005515"
"67","PRPF8","ENSG00000274442","GO:0003723"
"68","PRPF8","ENSG00000274442","GO:0008237"
"69","PRPF8","ENSG00000274442","GO:0070122"
"70","PRPF8","ENSG00000274442","GO:0000398"
"71","PRPF8","ENSG00000274442","GO:0005681"
"72","PRPF8","ENSG00000274442","GO:0017070"
"73","PRPF8","ENSG00000274442","GO:0030623"
