cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_14140_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	WASH7P
chr1:clu_14141_NA	Success	0.575311603799605	3	0.76486959336659	0.986897708989432	WASH7P
chr1:clu_14142_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14143_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14144_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14145_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-206L10.2,RP11-206L10.8
chr1:clu_14146_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-206L10.10
chr1:clu_14147_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-206L10.11
chr1:clu_14148_NA	Not enough valid samples	NA	NA	NA	NA	RP11-54O7.16,RP11-54O7.1
chr1:clu_14149_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14150_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14151_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14152_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14153_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SAMD11
chr1:clu_14154_NA	Success	0.386873091189855	2	0.679177283038374	0.98315381238489	SAMD11
chr1:clu_14155_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr1:clu_14156_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SAMD11
chr1:clu_14157_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SAMD11
chr1:clu_14158_NA	Not enough valid samples	NA	NA	NA	NA	SAMD11
chr1:clu_14159_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SAMD11
chr1:clu_14160_NA	Success	0.2964254377016	1	0.441318815514531	0.98315381238489	NOC2L
chr1:clu_14161_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NOC2L
chr1:clu_14162_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NOC2L
chr1:clu_14163_NA	Success	1.12517016922421	2	0.324597226200149	0.98315381238489	NOC2L
chr1:clu_14164_NA	Success	2.62676615425329	2	0.0723119301634715	0.971834088900938	NOC2L
chr1:clu_14165_NA	Success	0.0697006351117579	1	0.708876957591361	0.983302550056644	NOC2L
chr1:clu_14166_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KLHL17
chr1:clu_14167_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KLHL17
chr1:clu_14168_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KLHL17
chr1:clu_14169_NA	Not enough valid samples	NA	NA	NA	NA	KLHL17
chr1:clu_14170_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KLHL17
chr1:clu_14171_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KLHL17
chr1:clu_14172_NA	Not enough valid samples	NA	NA	NA	NA	KLHL17
chr1:clu_14173_NA	Not enough valid samples	NA	NA	NA	NA	PLEKHN1
chr1:clu_14174_NA	Success	3.15341793152254	5	0.277496822209464	0.98315381238489	HES4
chr1:clu_14175_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14176_NA	Not enough valid samples	NA	NA	NA	NA	AGRN
chr1:clu_14177_NA	Success	0.0823598499452629	1	0.684847859531171	0.98315381238489	AGRN
chr1:clu_14178_NA	Not enough valid samples	NA	NA	NA	NA	AGRN
chr1:clu_14179_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_14180_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_14181_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_14182_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AGRN,RP11-54O7.14
chr1:clu_14183_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-465B22.3
chr1:clu_14184_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-465B22.3
chr1:clu_14185_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14186_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	C1orf159
chr1:clu_14187_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	C1orf159
chr1:clu_14188_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	C1orf159
chr1:clu_14189_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_14190_NA	<=1 sample with coverage>0	NA	NA	NA	NA	TNFRSF18
chr1:clu_14191_NA	Success	0.167954652224239	2	0.845392170470007	0.989141973701193	SDF4
chr1:clu_14192_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SDF4
chr1:clu_14193_NA	Success	0.948493286810873	2	0.38732417046264	0.98315381238489	SDF4
chr1:clu_14194_NA	Success	7.64184938239885	7	0.0325299583521824	0.933305443065259	SDF4
chr1:clu_14195_NA	<=1 sample with coverage>0	NA	NA	NA	NA	FAM132A
chr1:clu_14196_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBE2J2
chr1:clu_14197_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBE2J2
chr1:clu_14198_NA	Success	1.66622557700543	4	0.5038071382746	0.98315381238489	UBE2J2
chr1:clu_14199_NA	Success	6.44272030284174	9	0.167858840149864	0.98315381238489	UBE2J2
chr1:clu_14200_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SCNN1D
