"","seqnames","start","end","width","strand","V4","V5","V6","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",11908230,11908250,21,"*","chr1_f_c56[k=1769][m=301]",301,"+","Promoter (<=1kb)",1,11908152,11908271,120,1,"26829","ENST00000362477.1",78
"2","chr20",49280380,49280400,21,"*","chr20_f_c170[k=346][m=266]",266,"+","Promoter (<=1kb)",20,49280322,49289260,8939,1,"441951","ENST00000659056.1",58
"3","chr22_KI270733v1_random",135081,135101,21,"*","chr22_KI270733v1_random_f_c1[k=1990][m=223]",223,"+","Distal Intergenic",479,128877,129029,153,1,"109864274","ENST00000616292.1",6204
"4","chr3",65944020,65944040,21,"*","chr3_r_c204[k=214][m=214]",214,"-","Intron (ENST00000330909.12/9223, intron 1 of 24)",3,65872815,65954558,81744,2,"151877","ENST00000460754.1",10518
"5","chr14",75877854,75877874,21,"*","chr14_r_c144[k=209][m=208]",208,"-","Intron (ENST00000298832.14/23093, intron 29 of 31)",14,75882719,75902504,19786,1,"23093","ENST00000557219.1",-4845
"6","chr16",10457187,10457207,21,"*","chr16_r_c72[k=207][m=205]",205,"-","Intron (ENST00000396559.5/80063, intron 7 of 11)",16,10471924,10480963,9040,1,"80063","ENST00000565450.1",-14717
"7","chr17",37085008,37085028,21,"*","chr17_r_c138[k=201][m=200]",200,"-","3' UTR",17,37086880,37088983,2104,2,"31","ENST00000618053.1",3955
"8","chr12",123336084,123336104,21,"*","chr12_r_c384[k=191][m=191]",191,"-","Intron (ENST00000420886.6/55206, intron 5 of 30)",12,123289109,123350441,61333,2,"55206","ENST00000420886.6",14337
"9","chr3",136490787,136490807,21,"*","chr3_r_c373[k=189][m=189]",189,"-","Intron (ENST00000236698.9/10274, intron 9 of 32)",3,136422957,136473603,50647,2,"10274","ENST00000492318.1",-17184
"10","chr5",73888169,73888189,21,"*","chr5_f_c154[k=186][m=186]",186,"+","Promoter (<=1kb)",5,73887485,73893361,5877,1,"64283","ENST00000504003.1",684
"11","chr2",74164213,74164233,21,"*","chr2_r_c225[k=185][m=185]",185,"-","Exon (ENST00000463975.1/55233, exon 4 of 4)",2,74159109,74178314,19206,2,"55233","ENST00000495286.5",14081
"12","chr18",58369126,58369146,21,"*","chr18_f_c128[k=188][m=185]",185,"+","Promoter (2-3kb)",18,58366597,58373255,6659,1,"23327","ENST00000587246.1",2529
"13","chr16",68225970,68225990,21,"*","chr16_r_c200[k=185][m=183]",183,"-","Exon (ENST00000571975.1/ENST00000571975.1, exon 1 of 1)",16,68231967,68232506,540,2,"80004","ENST00000565213.2",6516
"14","chr10",101786540,101786560,21,"*","chr10_r_c273[k=180][m=180]",180,"-","Promoter (1-2kb)",10,101786102,101787965,1864,2,"10724","ENST00000462994.1",1405
"15","chr15",52590928,52590948,21,"*","chr15_r_c102[k=178][m=178]",178,"-","Intron (ENST00000562062.1/ENST00000562062.1, intron 3 of 3)",15,52581317,52585323,4007,2,"56204","ENST00000568871.1",-5605
"16","chr1",58305903,58305923,21,"*","chr1_r_c288[k=177][m=177]",177,"-","Intron (ENST00000485760.5/1600, intron 4 of 20)",1,58462552,58506199,43648,2,"115209","ENST00000460671.1",200276
"17","chr22",25085903,25085923,21,"*","chr22_f_c68[k=177][m=177]",177,"+","Intron (ENST00000358431.8/85379, intron 6 of 12)",22,25069969,25197448,127480,1,"85379","ENST00000401395.1",15934
"18","chr5",140469310,140469330,21,"*","chr5_f_c307[k=172][m=172]",172,"+","Intron (ENST00000616482.4/54882, intron 9 of 9)",5,140459257,140524133,64877,1,"54882","ENST00000246149.10",10053
"19","chr10",125006572,125006592,21,"*","chr10_r_c337[k=172][m=171]",171,"-","Promoter (<=1kb)",10,124989135,125006013,16879,2,"1488","ENST00000334808.10",-559
"20","chr6",151757153,151757173,21,"*","chr6_f_c426[k=168][m=168]",168,"+","Intron (ENST00000473497.5/2099, intron 2 of 2)",6,151804431,152099053,294623,1,"2099","ENST00000338799.9",-47258
